Loop Order, Matrix Size, PAPI_FP_OPS, Cache Misses
ijk, 10, 2000, 78
ikj, 10, 2000, 48
jik, 10, 2000, 34
jki, 10, 2000, 38
kij, 10, 2000, 32
kji, 10, 2000, 35
ijk, 20, 16000, 62
ikj, 20, 16000, 11
jik, 20, 16000, 21
jki, 20, 16000, 10
kij, 20, 16000, 9
kji, 20, 16000, 10
ijk, 30, 54000, 110
ikj, 30, 54000, 49
jik, 30, 54000, 28
jki, 30, 54000, 42
kij, 30, 54000, 31
kji, 30, 54000, 26
ijk, 40, 128000, 232
ikj, 40, 128000, 120
jik, 40, 128000, 113
jki, 40, 128000, 86
kij, 40, 128000, 74
kji, 40, 128000, 70
ijk, 50, 250000, 411
ikj, 50, 250000, 364
jik, 50, 250000, 489
jki, 50, 250000, 381
kij, 50, 250000, 325
kji, 50, 250000, 285
ijk, 60, 432000, 612
ikj, 60, 432000, 551
jik, 60, 432000, 3664
jki, 60, 432000, 2397
kij, 60, 432000, 984
kji, 60, 432000, 801
ijk, 70, 686000, 17068
ikj, 70, 686000, 9676
jik, 70, 686000, 26382
jki, 70, 686000, 29495
kij, 70, 686000, 20929
kji, 70, 686000, 17727
ijk, 80, 1024000, 32406
ikj, 80, 1024000, 30939
jik, 80, 1024000, 38152
jki, 80, 1024000, 41270
kij, 80, 1024000, 38729
kji, 80, 1024000, 27437
ijk, 90, 1458000, 20757
ikj, 90, 1458000, 18381
jik, 90, 1458000, 42557
jki, 90, 1458000, 48712
kij, 90, 1458000, 52943
kji, 90, 1458000, 37748
ijk, 100, 2000000, 57897
ikj, 100, 2000000, 62491
jik, 100, 2000000, 64653
jki, 100, 2000000, 69705
kij, 100, 2000000, 72649
kji, 100, 2000000, 57712
