Loop Order, Matrix Size, PAPI_FP_OPS, Cache Misses
ijk, 10, 2000, 61
ikj, 10, 2000, 40
jik, 10, 2000, 34
jki, 10, 2000, 34
kij, 10, 2000, 31
kji, 10, 2000, 32
ijk, 20, 16000, 146
ikj, 20, 16000, 97
jik, 20, 16000, 81
jki, 20, 16000, 85
kij, 20, 16000, 81
kji, 20, 16000, 74
ijk, 30, 54000, 227
ikj, 30, 54000, 187
jik, 30, 54000, 169
jki, 30, 54000, 159
kij, 30, 54000, 102
kji, 30, 54000, 120
ijk, 40, 128000, 998
ikj, 40, 128000, 548
jik, 40, 128000, 314
jki, 40, 128000, 303
kij, 40, 128000, 385
kji, 40, 128000, 303
ijk, 50, 250000, 993
ikj, 50, 250000, 465
jik, 50, 250000, 363
jki, 50, 250000, 298
kij, 50, 250000, 354
kji, 50, 250000, 298
ijk, 60, 432000, 2286
ikj, 60, 432000, 1243
jik, 60, 432000, 660
jki, 60, 432000, 540
kij, 60, 432000, 1051
kji, 60, 432000, 967
ijk, 70, 686000, 24811
ikj, 70, 686000, 29461
jik, 70, 686000, 21842
jki, 70, 686000, 15449
kij, 70, 686000, 23887
kji, 70, 686000, 19494
ijk, 80, 1024000, 50240
ikj, 80, 1024000, 42599
jik, 80, 1024000, 41436
jki, 80, 1024000, 30639
kij, 80, 1024000, 35239
kji, 80, 1024000, 32567
ijk, 90, 1458000, 55228
ikj, 90, 1458000, 62164
jik, 90, 1458000, 55166
jki, 90, 1458000, 43011
kij, 90, 1458000, 50067
kji, 90, 1458000, 48742
ijk, 100, 2000000, 62900
ikj, 100, 2000000, 69263
jik, 100, 2000000, 56310
jki, 100, 2000000, 62573
kij, 100, 2000000, 58580
kji, 100, 2000000, 72146
ijk, 200, 16000000, 769445
ikj, 200, 16000000, 4746605
jik, 200, 16000000, 906750
jki, 200, 16000000, 495976
kij, 200, 16000000, 8466644
kji, 200, 16000000, 528863
ijk, 300, 54000000, 5221154
ikj, 300, 54000000, 23623434
jik, 300, 54000000, 20422713
jki, 300, 54000000, 1681138
kij, 300, 54000000, 46109786
kji, 300, 54000000, 1781229
ijk, 400, 128000000, 16301598
ikj, 400, 128000000, 64460064
jik, 400, 128000000, 19493759
jki, 400, 128000000, 4050636
kij, 400, 128000000, 123710932
kji, 400, 128000000, 4192287
ijk, 500, 250000000, 108441207
ikj, 500, 250000000, 121599604
jik, 500, 250000000, 128033613
jki, 500, 250000000, 7945468
kij, 500, 250000000, 241483421
kji, 500, 250000000, 8178637
ijk, 600, 432000000, 219287647
ikj, 600, 432000000, 217666666
jik, 600, 432000000, 222340697
jki, 600, 432000000, 13720716
kij, 600, 432000000, 432255226
kji, 600, 432000000, 14035853
ijk, 700, 686000000, 367937832
ikj, 700, 686000000, 345353519
jik, 700, 686000000, 367813757
jki, 700, 686000000, 21780983
kij, 700, 686000000, 686538368
kji, 700, 686000000, 22276043
ijk, 800, 1024000000, 530668417
ikj, 800, 1024000000, 507559983
jik, 800, 1024000000, 533098377
jki, 800, 1024000000, 32597780
kij, 800, 1024000000, 1024724198
kji, 800, 1024000000, 33127826
ijk, 900, 1458000000, 766787990
ikj, 900, 1458000000, 733024424
jik, 900, 1458000000, 781967363
jki, 900, 1458000000, 46474093
kij, 900, 1458000000, 1458764146
kji, 900, 1458000000, 47235944
ijk, 1000, 2000000000, 1073727640
ikj, 1000, 2000000000, 1005914193
jik, 1000, 2000000000, 1074823469
jki, 1000, 2000000000, 63714445
kij, 1000, 2000000000, 2003619814
kji, 1000, 2000000000, 64611539
