Loop Order, Matrix Size, PAPI_FP_OPS, Cache Misses
ijk, 10, 2000, 53
ikj, 10, 2000, 34
jik, 10, 2000, 40
jki, 10, 2000, 44
kij, 10, 2000, 36
kji, 10, 2000, 33
ijk, 20, 16000, 92
ikj, 20, 16000, 72
jik, 20, 16000, 73
jki, 20, 16000, 77
kij, 20, 16000, 86
kji, 20, 16000, 61
ijk, 30, 54000, 132
ikj, 30, 54000, 41
jik, 30, 54000, 32
jki, 30, 54000, 33
kij, 30, 54000, 21
kji, 30, 54000, 23
ijk, 40, 128000, 232
ikj, 40, 128000, 133
jik, 40, 128000, 116
jki, 40, 128000, 93
kij, 40, 128000, 81
kji, 40, 128000, 110
ijk, 50, 250000, 407
ikj, 50, 250000, 345
jik, 50, 250000, 489
jki, 50, 250000, 377
kij, 50, 250000, 340
kji, 50, 250000, 296
ijk, 60, 432000, 587
ikj, 60, 432000, 506
jik, 60, 432000, 3070
jki, 60, 432000, 1985
kij, 60, 432000, 883
kji, 60, 432000, 1229
ijk, 70, 686000, 19630
ikj, 70, 686000, 14749
jik, 70, 686000, 26906
jki, 70, 686000, 30555
kij, 70, 686000, 23533
kji, 70, 686000, 21199
ijk, 80, 1024000, 2050
ikj, 80, 1024000, 1521
jik, 80, 1024000, 30355
jki, 80, 1024000, 22241
kij, 80, 1024000, 9440
kji, 80, 1024000, 12189
ijk, 90, 1458000, 16926
ikj, 90, 1458000, 19025
jik, 90, 1458000, 42534
jki, 90, 1458000, 49554
kij, 90, 1458000, 52838
kji, 90, 1458000, 38515
ijk, 100, 2000000, 67886
ikj, 100, 2000000, 60224
jik, 100, 2000000, 74406
jki, 100, 2000000, 100186
kij, 100, 2000000, 65292
kji, 100, 2000000, 87329
ijk, 200, 16000000, 920852
ikj, 200, 16000000, 505376
jik, 200, 16000000, 915464
jki, 200, 16000000, 4764315
kij, 200, 16000000, 526747
kji, 200, 16000000, 7990536
ijk, 300, 54000000, 2068764
ikj, 300, 54000000, 1689290
jik, 300, 54000000, 7156518
jki, 300, 54000000, 23641770
kij, 300, 54000000, 1770563
kji, 300, 54000000, 46866430
ijk, 400, 128000000, 64332831
ikj, 400, 128000000, 4040647
jik, 400, 128000000, 40993433
jki, 400, 128000000, 60728324
kij, 400, 128000000, 4190189
kji, 400, 128000000, 128081595
ijk, 500, 250000000, 103621261
ikj, 500, 250000000, 7932630
jik, 500, 250000000, 68365424
jki, 500, 250000000, 126062183
kij, 500, 250000000, 8158087
kji, 500, 250000000, 250264001
ijk, 600, 432000000, 220162151
ikj, 600, 432000000, 13727979
jik, 600, 432000000, 201350520
jki, 600, 432000000, 210472400
kij, 600, 432000000, 14031057
kji, 600, 432000000, 432386963
ijk, 700, 686000000, 355782373
ikj, 700, 686000000, 21875707
jik, 700, 686000000, 369782034
jki, 700, 686000000, 345281116
kij, 700, 686000000, 22199336
kji, 700, 686000000, 686205014
ijk, 800, 1024000000, 527914125
ikj, 800, 1024000000, 32562563
jik, 800, 1024000000, 550377370
jki, 800, 1024000000, 515178649
kij, 800, 1024000000, 33074284
kji, 800, 1024000000, 1024538360
ijk, 900, 1458000000, 763483181
ikj, 900, 1458000000, 46544878
jik, 900, 1458000000, 782166797
jki, 900, 1458000000, 733574635
kij, 900, 1458000000, 47118556
kji, 900, 1458000000, 1459159572
ijk, 1000, 2000000000, 1059747581
ikj, 1000, 2000000000, 63670311
jik, 1000, 2000000000, 1074757638
jki, 1000, 2000000000, 1006360493
kij, 1000, 2000000000, 64482352
kji, 1000, 2000000000, 2003121315
